Edit_distance,Entropy,F_Values,Generations
9.50175203142987,4.895968489035193,102451.56047863049,52
9.491824097553673,4.89500420766165,102451.56047863049,53
9.468880229970717,4.887226184439044,102187.58901079393,54
9.458909913276754,4.906352978552476,100350.53360929285,55
9.357133475686453,4.933087734680579,97837.86013771479,56
9.359874605929342,4.938116592431119,97837.86013771479,57
9.632239502676292,4.954710670395397,97694.06678420857,58
9.616017563343354,4.943713468317415,96725.92906859108,59
9.610349565519284,4.924926063119346,96725.92906859108,60
9.57739601795573,4.860795048914469,96725.92906859108,61
9.56567693175775,4.896619288452973,94879.34535386068,62
9.551842888006684,4.88987619502935,94879.34535386068,63
9.55263234016414,4.880451595812483,94879.34535386068,64
9.553657974022519,4.899603450878729,94879.34535386068,65
9.545016521948474,4.903802776629625,94879.34535386068,66
9.581497947988467,4.933420686403458,94879.34535386068,67
9.548319070843403,4.883219174785424,94879.34535386068,68
9.51599671029418,4.920513768478209,94706.85715533249,69
9.530307975330137,4.9081922283262935,94706.85715533249,70
9.517212219894601,4.924956712399572,94706.85715533249,71
9.518489743149926,4.871676826314581,94706.85715533249,72
9.49930715725862,4.900923787305023,94706.85715533249,73
9.519666885669436,4.8825252317195185,93059.48741341967,74
9.526251067883903,4.913217130918756,93059.48741341967,75
9.552790658767504,4.936573614380488,93059.48741341967,76
9.54105232438408,4.920053299699411,93059.48741341967,77
9.537273462890296,4.946202897792729,93059.48741341967,78
9.539861545753423,4.930036863328028,93059.48741341967,79
9.532569132880523,4.936360250963534,93059.48741341967,80
9.52614606164801,4.902753237917172,93059.48741341967,81
9.518422869832904,4.885136273799681,93059.48741341967,82
9.524281833585217,4.923729638440967,93059.48741341967,83
9.524099017017582,4.924565359048258,93059.48741341967,84
9.53559422880424,4.9272843541464,93059.48741341967,85
9.460639734604417,4.876167550698425,91842.982969568,86
9.453325772585925,4.875901898811718,91842.982969568,87
9.448834937360553,4.8825453630062094,91842.982969568,88
9.451008982244451,4.884214236937088,91842.982969568,89
9.443306320135164,4.892008788349505,91842.982969568,90
9.447970282535818,4.901248000870217,91842.982969568,91
9.460707196824107,4.901292622425575,91842.982969568,92
9.443398413955729,4.897697542963999,91842.982969568,93
9.429519050286192,4.882575397778771,91842.982969568,94
9.38930704309935,4.921671199283454,90856.7213198865,95
9.400459355675132,4.868146837606482,90856.7213198865,96
9.38106491698078,4.887904421768915,90856.7213198865,97
9.374688149572398,4.915597696554528,90856.7213198865,98
9.39180279682011,4.8632200826326315,90856.7213198865,99
9.380712475004792,4.8948349899383405,90856.7213198865,100
